Name,Team,Position,Rank,ADP,ADP Differential,Week 17,Week 16,Week 15,Division,Exposure
Dylan Laube,LV,RB,234,227.3,-6.7,NO,JAX,ATL,AFC WEST,12.0
Kendrick Bourne,NE,WR,235,229.7,-5.3,LAC,BUF,ARI,AFC EAST,0.0
Keaton Mitchell,BAL,RB,236,226.5,-9.5,HOU,PIT,NYG,AFC NORTH,24.0
Will Dissly,LAC,TE,237,230.9,-6.1,NE,DEN,TB,AFC WEST,0.0
K.J. Osborn,NE,WR,238,227.9,-10.1,LAC,BUF,ARI,AFC EAST,0.0
A.T. Perry,NO,WR,239,228.2,-10.8,LV,GB,WAS,NFC SOUTH,0.0
Zach Ertz,WAS,TE,240,213.2,-26.8,ATL,PHI,NO,NFC EAST,0.0
Kenneth Gainwell,PHI,RB,241,226.5,-14.5,DAL,WAS,PIT,NFC EAST,12.0
D'Onta Foreman,CLE,RB,242,224.8,-17.2,MIA,CIN,KC,AFC NORTH,16.0
Kendre Miller,NO,RB,243,220.2,-22.8,LV,GB,WAS,NFC SOUTH,0.0
Javon Baker,NE,WR,244,226.3,-17.7,LAC,BUF,ARI,AFC EAST,0.0
Troy Franklin,DEN,WR,245,222.5,-22.5,CIN,LAC,IND,AFC WEST,16.0
Alexander Mattison,LV,RB,246,209.1,-36.9,NO,JAX,ATL,AFC WEST,4.0
Hayden Hurst,LAC,TE,247,227.9,-19.1,NE,DEN,TB,AFC WEST,0.0
Michael Thomas,FA,WR,248,226.2,-21.8,,,,,0.0
Brenden Rice,LAC,WR,249,227.2,-21.8,NE,DEN,TB,AFC WEST,0.0
Olamide Zaccheaus,WAS,WR,250,228.6,-21.4,ATL,PHI,NO,NFC EAST,0.0
Marvin Mims,DEN,WR,251,189.5,-61.5,CIN,LAC,IND,AFC WEST,0.0
Van Jefferson,PIT,WR,252,225.9,-26.1,KC,BAL,PHI,AFC NORTH,0.0
Emanuel Wilson,GB,RB,253,224.6,-28.4,MIN,NO,SEA,NFC NORTH,0.0
Trey Palmer,TB,WR,254,229.4,-24.6,CAR,DAL,LAC,NFC SOUTH,0.0
Miles Sanders,CAR,RB,255,226.9,-28.1,TB,ARI,DAL,NFC SOUTH,0.0
Bo Melton,GB,WR,256,228.6,-27.4,MIN,NO,SEA,NFC NORTH,0.0
Marquez Valdes-Scantling,BUF,WR,257,228.1,-28.9,NYJ,NE,DET,AFC EAST,0.0
Hunter Renfrow,FA,WR,258,225.8,-32.2,,,,,0.0
Davis Allen,LAR,TE,259,228.5,-30.5,ARI,NYJ,SF,NFC WEST,0.0
Eric Gray,NYG,RB,260,226.0,-34.0,IND,ATL,BAL,NFC EAST,4.0
Gardner Minshew,LV,QB,261,206.8,-54.2,NO,JAX,ATL,AFC WEST,0.0
Ja'Tavion Sanders,CAR,TE,262,227.4,-34.6,TB,ARI,DAL,NFC SOUTH,8.0
Nelson Agholor,BAL,WR,263,225.1,-37.9,HOU,PIT,NYG,AFC NORTH,0.0
Alec Pierce,IND,WR,264,227.2,-36.8,NYG,TEN,DEN,AFC SOUTH,0.0
Dyami Brown,WAS,WR,265,209.4,-55.6,ATL,PHI,NO,NFC EAST,0.0
Zay Jones,ARI,WR,266,227.4,-38.6,LAR,CAR,NE,NFC WEST,4.0
Tanner Hudson,CIN,TE,267,228.7,-38.3,DEN,CLE,TEN,AFC NORTH,0.0
Trenton Irwin,CIN,WR,268,226.4,-41.6,DEN,CLE,TEN,AFC NORTH,0.0
Jordan Whittington,LAR,WR,269,216.2,-52.8,ARI,NYJ,SF,NFC WEST,0.0
Xavier Gipson,NYJ,WR,270,226.4,-43.6,BUF,LAR,JAX,AFC EAST,0.0
Cedric Tillman,CLE,WR,271,230.5,-40.5,MIA,CIN,KC,AFC NORTH,0.0
Kylen Granson,IND,TE,272,228.8,-43.2,NYG,TEN,DEN,AFC SOUTH,0.0
Odell Beckham Jr.,MIA,WR,273,227.8,-45.2,CLE,SF,HOU,AFC EAST,0.0
Isaiah Davis,NYJ,RB,274,226.4,-47.6,BUF,LAR,JAX,AFC EAST,0.0
Ty Johnson,BUF,RB,275,226.8,-48.2,NYJ,NE,DET,AFC EAST,0.0
Rasheen Ali,BAL,RB,276,229.0,-47.0,HOU,PIT,NYG,AFC NORTH,0.0
Gerald Everett,CHI,TE,277,230.0,-47.0,SEA,DET,MIN,NFC NORTH,0.0
Cordarrelle Patterson,ATL,RB,278,227.0,-51.0,WAS,NYG,LV,NFC SOUTH,0.0
Noah Gray,KC,TE,279,228.5,-50.5,PIT,HOU,CLE,AFC WEST,0.0
John Metchie,HOU,WR,280,227.8,-52.2,BAL,KC,MIA,AFC SOUTH,0.0
Carson Steele,KC,RB,281,220.0,-61.0,PIT,HOU,CLE,AFC WEST,0.0
